id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1345991644290678790	1345991644290678790	2021-01-04 08:13:09 CET	2021-01-04	08:13:09	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		Dear .@USAA  I just want to find  11,780 more dollars in my checking account. Everyone at your bank counted wrong. #Recalculate	en	[{'screen_name': 'usaa', 'name': 'usaa', 'id': '16584443'}]	[]	[]	1	0	2	['recalculate']	[]	https://twitter.com/BooKerri/status/1345991644290678790	False	0	0								[]				
1345956357900537857	1345793567785168896	2021-01-04 05:52:57 CET	2021-01-04	05:52:57	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		@designsbycary @AztlanaResistance	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BooKerri/status/1345956357900537857	False	0	0								[{'screen_name': 'designsbycary', 'name': 'MarinesWearMasks #VetsResistSupportSquadron', 'id': '1273339089199288321'}]				
1345931059775512576	1345738494430355459	2021-01-04 04:12:25 CET	2021-01-04	04:12:25	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		@martyrabkin I would be out singing in the streets.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BooKerri/status/1345931059775512576	False	0	0								[{'screen_name': 'martyrabkin', 'name': 'martyrabkin', 'id': '480479178'}]				
1345929260087746561	1345929260087746561	2021-01-04 04:05:16 CET	2021-01-04	04:05:16	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		Get him.  Also disbar the lawyers who participated.	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/BooKerri/status/1345929260087746561	False	https://twitter.com/RepHankJohnson/status/1345848837534076930	0								[]				
1345911163746459648	1345911158293852160	2021-01-04 02:53:21 CET	2021-01-04	02:53:21	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		.@SpeakerPelosi needs to go. Instead they elected her. That narrow margin should tell you everything you need to know about her ineffective methods.	en	[{'screen_name': 'speakerpelosi', 'name': 'nancy pelosi', 'id': '15764644'}]	[]	[]	0	0	0	[]	[]	https://twitter.com/BooKerri/status/1345911163746459648	False	0	0								[]				
1345911161582190594	1345911158293852160	2021-01-04 02:53:21 CET	2021-01-04	02:53:21	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		So I lost 4 followers for speaking my truth. Okay. I know what's right. We are all dead in the next 20-50 years if we don't take drastic action on Climate Change in the next 4. Pelosi (geriatric) couldn't care less.	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/BooKerri/status/1345911161582190594	False	0	0								[]				
1345911160021913601	1345911158293852160	2021-01-04 02:53:21 CET	2021-01-04	02:53:21	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		Why did #TheSquad not insist on someone who is friendly with Progressives? Like one of their own? This last election underscores that Centrist Dems are unpopular to everyone but their own minds. Look at how many votes the GOP gained. Read the room.	en	[]	[]	[]	1	0	0	['thesquad']	[]	https://twitter.com/BooKerri/status/1345911160021913601	False	0	0								[]				
1345911158293852160	1345911158293852160	2021-01-04 02:53:20 CET	2021-01-04	02:53:20	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		Why do I dislike Pelosi. No it is not because I drank the GOP kool-aid. I don't like her because:  - No action on Climate Change. Actively fought the New Green Deal - War Hawk - No action on babies in cages.   I could go on. However all .@SpeakerPelosi does is posture.	en	[{'screen_name': 'speakerpelosi', 'name': 'nancy pelosi', 'id': '15764644'}]	[]	[]	1	0	0	[]	[]	https://twitter.com/BooKerri/status/1345911158293852160	False	0	0								[]				
1345884508705464324	1345879174033121281	2021-01-04 01:07:26 CET	2021-01-04	01:07:26	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		@secupp ...but they will.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BooKerri/status/1345884508705464324	False	0	0								[{'screen_name': 'secupp', 'name': 'S.E. Cupp', 'id': '19268706'}]				
1345879189304565761	1345879189304565761	2021-01-04 00:46:18 CET	2021-01-04	00:46:18	+0100	1047823675	bookerri	Kerri Peek de los Luceros 🇲🇽🇺🇸🇨🇮		I have Aspbergers. I don't know how to filter myself for society. I speak from the heart.  https://t.co/vXcPrOnfwH	en	[]	[]	['https://pbs.twimg.com/media/Eq2F_X4XYAIbmkb.jpg']	0	0	0	[]	[]	https://twitter.com/BooKerri/status/1345879189304565761	False	0	1	https://pbs.twimg.com/media/Eq2F_X4XYAIbmkb.jpg							[]				
